Generated by Rfunction:  Gera.mw41.edt.skewT.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   X1422247
RS_freq:        405
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2025-06-23 06:45:05
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
 104.59  -9999.    301.93    55.90    -10.05      4.81        519.9    960.52    292.29    14.52     334.40     11.14 1  -9999.  -9999.   -76.8680    39.0504  -9999.  -9999.  -9999.
 105.59  -9999.    301.90    55.89    -10.11      4.75        524.8    960.06    292.26    14.51     334.82     11.17 1  -9999.  -9999.   -76.8680    39.0503  -9999.  -9999.  -9999.
 106.59  -9999.    301.87    55.95    -10.16      4.69        529.4    959.62    292.26    14.51     335.20     11.19 1  -9999.  -9999.   -76.8679    39.0501  -9999.  -9999.  -9999.
 107.59  -9999.    301.85    55.99    -10.20      4.64        531.9    959.20    292.24    14.50     335.54     11.20 1  -9999.  -9999.   -76.8679    39.0500  -9999.  -9999.  -9999.
 108.59  -9999.    301.82    56.02    -10.22      4.59        535.7    958.79    292.22    14.49     335.84     11.20 1  -9999.  -9999.   -76.8678    39.0499  -9999.  -9999.  -9999.
 109.59  -9999.    301.79    56.01    -10.24      4.53        539.1    958.39    292.19    14.46     336.10     11.19 1  -9999.  -9999.   -76.8678    39.0498  -9999.  -9999.  -9999.
 110.59  -9999.    301.76    55.97    -10.23      4.49        543.0    957.98    292.15    14.44     336.33     11.17 1  -9999.  -9999.   -76.8677    39.0497  -9999.  -9999.  -9999.
 111.59  -9999.    301.73    56.01    -10.22      4.44        547.1    957.58    292.14    14.43     336.53     11.14 1  -9999.  -9999.   -76.8677    39.0496  -9999.  -9999.  -9999.
 112.59  -9999.    301.72    56.14    -10.19      4.39        550.6    957.17    292.16    14.46     336.69     11.09 1  -9999.  -9999.   -76.8677    39.0495  -9999.  -9999.  -9999.
 113.59  -9999.    301.69    56.42    -10.14      4.34        553.6    956.75    292.21    14.51     336.82     11.03 1  -9999.  -9999.   -76.8676    39.0493  -9999.  -9999.  -9999.
