Generated by Rfunction:  Gera.mw41.edt.skewT.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   X1422247
RS_freq:        405
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2025-06-23 06:45:05
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
 114.59  -9999.    301.66    56.71    -10.08      4.29        557.6    956.32    292.26    14.57     336.93     10.95 1  -9999.  -9999.   -76.8676    39.0492  -9999.  -9999.  -9999.
 115.59  -9999.    301.62    56.74    -10.00      4.24        562.2    955.87    292.24    14.55     337.00     10.87 1  -9999.  -9999.   -76.8675    39.0491  -9999.  -9999.  -9999.
 116.59  -9999.    301.59    56.58     -9.91      4.20        567.7    955.42    292.17    14.49     337.06     10.77 1  -9999.  -9999.   -76.8675    39.0490  -9999.  -9999.  -9999.
 117.59  -9999.    301.57    56.39     -9.81      4.15        571.6    954.96    292.09    14.43     337.10     10.65 1  -9999.  -9999.   -76.8674    39.0490  -9999.  -9999.  -9999.
 118.59  -9999.    301.55    56.25     -9.70      4.10        575.1    954.49    292.03    14.38     337.11     10.53 1  -9999.  -9999.   -76.8673    39.0489  -9999.  -9999.  -9999.
 119.59  -9999.    301.53    56.13     -9.58      4.05        579.1    954.02    291.98    14.34     337.11     10.40 1  -9999.  -9999.   -76.8672    39.0488  -9999.  -9999.  -9999.
 120.59  -9999.    301.51    56.07     -9.45      4.00        584.7    953.54    291.95    14.32     337.09     10.26 1  -9999.  -9999.   -76.8671    39.0487  -9999.  -9999.  -9999.
 121.59  -9999.    301.48    56.09     -9.32      3.95        589.0    953.08    291.93    14.30     337.05     10.12 1  -9999.  -9999.   -76.8671    39.0487  -9999.  -9999.  -9999.
 122.59  -9999.    301.45    56.14     -9.18      3.90        594.5    952.62    291.91    14.30     336.99      9.98 1  -9999.  -9999.   -76.8670    39.0486  -9999.  -9999.  -9999.
 123.59  -9999.    301.41    56.20     -9.04      3.86        598.8    952.17    291.89    14.29     336.90      9.83 1  -9999.  -9999.   -76.8670    39.0485  -9999.  -9999.  -9999.
 124.59  -9999.    301.38    56.24     -8.90      3.82        601.7    951.74    291.88    14.28     336.79      9.69 1  -9999.  -9999.   -76.8670    39.0485  -9999.  -9999.  -9999.
 125.59  -9999.    301.34    56.31     -8.77      3.79        605.6    951.32    291.86    14.28     336.65      9.55 1  -9999.  -9999.   -76.8670    39.0484  -9999.  -9999.  -9999.
 126.59  -9999.    301.31    56.35     -8.64      3.76        608.9    950.89    291.84    14.26     336.48      9.42 1  -9999.  -9999.   -76.8669    39.0483  -9999.  -9999.  -9999.
 127.59  -9999.    301.28    56.32     -8.51      3.74        612.2    950.46    291.81    14.24     336.30      9.29 1  -9999.  -9999.   -76.8669    39.0482  -9999.  -9999.  -9999.
 128.59  -9999.    301.26    56.33     -8.39      3.72        616.0    950.02    291.79    14.23     336.09      9.18 1  -9999.  -9999.   -76.8669    39.0481  -9999.  -9999.  -9999.
 129.59  -9999.    301.24    56.35     -8.28      3.71        620.7    949.56    291.78    14.22     335.87      9.08 1  -9999.  -9999.   -76.8669    39.0480  -9999.  -9999.  -9999.
 130.59  -9999.    301.21    56.39     -8.19      3.71        625.9    949.10    291.76    14.22     335.64      8.99 1  -9999.  -9999.   -76.8669    39.0480  -9999.  -9999.  -9999.
 131.59  -9999.    301.18    56.44     -8.10      3.71        631.3    948.63    291.74    14.21     335.39      8.91 1  -9999.  -9999.   -76.8668    39.0479  -9999.  -9999.  -9999.
 132.59  -9999.    301.15    56.40     -8.03      3.72        636.5    948.17    291.71    14.18     335.13      8.85 1  -9999.  -9999.   -76.8668    39.0478  -9999.  -9999.  -9999.
 133.59  -9999.    301.12    56.35     -7.97      3.74        639.5    947.72    291.67    14.16     334.86      8.80 1  -9999.  -9999.   -76.8667    39.0478  -9999.  -9999.  -9999.
 134.59  -9999.    301.09    56.39     -7.92      3.77        643.8    947.27    291.65    14.15     334.58      8.77 1  -9999.  -9999.   -76.8667    39.0477  -9999.  -9999.  -9999.
 135.59  -9999.    301.06    56.45     -7.89      3.80        647.0    946.84    291.64    14.14     334.31      8.76 1  -9999.  -9999.   -76.8667    39.0477  -9999.  -9999.  -9999.
 136.59  -9999.    301.03    56.52     -7.88      3.84        650.7    946.40    291.63    14.14     334.04      8.77 1  -9999.  -9999.   -76.8666    39.0476  -9999.  -9999.  -9999.
 137.59  -9999.    300.99    56.56     -7.88      3.88        655.1    945.96    291.61    14.12     333.80      8.79 1  -9999.  -9999.   -76.8666    39.0475  -9999.  -9999.  -9999.
 138.59  -9999.    300.96    56.65     -7.90      3.93        659.2    945.52    291.60    14.13     333.57      8.82 1  -9999.  -9999.   -76.8665    39.0475  -9999.  -9999.  -9999.
 139.59  -9999.    300.92    56.88     -7.93      3.98        663.5    945.08    291.63    14.16     333.37      8.88 1  -9999.  -9999.   -76.8665    39.0474  -9999.  -9999.  -9999.
 140.59  -9999.    300.88    57.14     -7.98      4.03        668.6    944.63    291.66    14.20     333.21      8.94 1  -9999.  -9999.   -76.8664    39.0474  -9999.  -9999.  -9999.
 141.59  -9999.    300.85    57.34     -8.04      4.08        672.7    944.20    291.69    14.23     333.08      9.02 1  -9999.  -9999.   -76.8664    39.0473  -9999.  -9999.  -9999.
 142.59  -9999.    300.80    57.49     -8.11      4.13        677.7    943.76    291.69    14.23     332.99      9.10 1  -9999.  -9999.   -76.8663    39.0472  -9999.  -9999.  -9999.
 143.59  -9999.    300.77    57.57     -8.19      4.18        680.4    943.33    291.68    14.23     332.94      9.20 1  -9999.  -9999.   -76.8662    39.0472  -9999.  -9999.  -9999.
 144.59  -9999.    300.74    57.68     -8.28      4.23        683.5    942.90    291.68    14.24     332.94      9.29 1  -9999.  -9999.   -76.8662    39.0471  -9999.  -9999.  -9999.
 145.59  -9999.    300.71    57.84     -8.37      4.27        687.3    942.44    291.69    14.26     332.98      9.40 1  -9999.  -9999.   -76.8661    39.0470  -9999.  -9999.  -9999.
 146.59  -9999.    300.67    57.99     -8.47      4.30        691.8    941.97    291.71    14.28     333.08      9.50 1  -9999.  -9999.   -76.8661    39.0470  -9999.  -9999.  -9999.
 147.59  -9999.    300.63    58.22     -8.58      4.33        695.3    941.46    291.73    14.31     333.23      9.61 1  -9999.  -9999.   -76.8660    39.0469  -9999.  -9999.  -9999.
 148.59  -9999.    300.59    58.57     -8.69      4.35        701.4    940.92    291.79    14.37     333.43      9.72 1  -9999.  -9999.   -76.8660    39.0469  -9999.  -9999.  -9999.
 149.59  -9999.    300.53    58.82     -8.80      4.35        706.8    940.36    291.80    14.39     333.68      9.82 1  -9999.  -9999.   -76.8660    39.0468  -9999.  -9999.  -9999.
 150.59  -9999.    300.47    58.94     -8.91      4.35        714.6    939.79    291.78    14.38     333.99      9.91 1  -9999.  -9999.   -76.8659    39.0467  -9999.  -9999.  -9999.
 151.59  -9999.    300.41    58.94     -9.01      4.33        721.0    939.22    291.72    14.33     334.34     10.00 1  -9999.  -9999.   -76.8659    39.0466  -9999.  -9999.  -9999.
 152.59  -9999.    300.35    58.87     -9.11      4.30        727.0    938.69    291.65    14.27     334.74     10.08 1  -9999.  -9999.   -76.8658    39.0465  -9999.  -9999.  -9999.
 153.59  -9999.    300.30    58.82     -9.21      4.26        730.5    938.18    291.59    14.23     335.18     10.14 1  -9999.  -9999.   -76.8658    39.0464  -9999.  -9999.  -9999.
 154.59  -9999.    300.26    58.85     -9.29      4.21        734.2    937.72    291.55    14.21     335.65     10.20 1  -9999.  -9999.   -76.8657    39.0463  -9999.  -9999.  -9999.
 155.59  -9999.    300.23    58.96     -9.37      4.14        739.2    937.29    291.55    14.21     336.16     10.25 1  -9999.  -9999.   -76.8656    39.0462  -9999.  -9999.  -9999.
 156.59  -9999.    300.20    59.09     -9.44      4.07        741.3    936.88    291.56    14.23     336.70     10.28 1  -9999.  -9999.   -76.8655    39.0461  -9999.  -9999.  -9999.
 157.59  -9999.    300.17    59.29     -9.50      3.98        744.2    936.50    291.59    14.26     337.27     10.30 1  -9999.  -9999.   -76.8655    39.0460  -9999.  -9999.  -9999.
 158.59  -9999.    300.14    59.56     -9.55      3.88        747.9    936.12    291.63    14.30     337.86     10.31 1  -9999.  -9999.   -76.8654    39.0459  -9999.  -9999.  -9999.
 159.59  -9999.    300.11    59.82     -9.58      3.78        751.8    935.73    291.68    14.35     338.47     10.30 1  -9999.  -9999.   -76.8653    39.0458  -9999.  -9999.  -9999.
 160.59  -9999.    300.08    60.06     -9.60      3.67        755.3    935.35    291.71    14.38     339.09     10.28 1  -9999.  -9999.   -76.8653    39.0457  -9999.  -9999.  -9999.
 161.59  -9999.    300.04    60.25     -9.61      3.55        759.6    934.95    291.72    14.40     339.73     10.25 1  -9999.  -9999.   -76.8652    39.0456  -9999.  -9999.  -9999.
 162.59  -9999.    300.01    60.36     -9.61      3.43        762.5    934.55    291.72    14.41     340.36     10.21 1  -9999.  -9999.   -76.8652    39.0455  -9999.  -9999.  -9999.
 163.59  -9999.    299.98    60.48     -9.60      3.31        766.9    934.14    291.72    14.42     340.98     10.16 1  -9999.  -9999.   -76.8652    39.0455  -9999.  -9999.  -9999.
 164.59  -9999.    299.94    60.65     -9.58      3.19        770.2    933.71    291.73    14.43     341.59     10.10 1  -9999.  -9999.   -76.8652    39.0454  -9999.  -9999.  -9999.
 165.59  -9999.    299.91    60.87     -9.54      3.07        774.9    933.28    291.76    14.46     342.17     10.03 1  -9999.  -9999.   -76.8651    39.0453  -9999.  -9999.  -9999.
 166.59  -9999.    299.87    60.98     -9.50      2.96        779.7    932.84    291.75    14.46     342.71      9.95 1  -9999.  -9999.   -76.8651    39.0452  -9999.  -9999.  -9999.
 167.59  -9999.    299.83    60.96     -9.45      2.85        784.1    932.40    291.71    14.43     343.20      9.87 1  -9999.  -9999.   -76.8650    39.0451  -9999.  -9999.  -9999.
 168.59  -9999.    299.79    60.89     -9.38      2.75        787.9    931.96    291.65    14.39     343.65      9.78 1  -9999.  -9999.   -76.8650    39.0450  -9999.  -9999.  -9999.
 169.59  -9999.    299.76    60.88     -9.31      2.66        791.8    931.52    291.62    14.36     344.05      9.69 1  -9999.  -9999.   -76.8650    39.0449  -9999.  -9999.  -9999.
 170.59  -9999.    299.73    60.93     -9.24      2.58        796.2    931.08    291.61    14.36     344.39      9.59 1  -9999.  -9999.   -76.8650    39.0448  -9999.  -9999.  -9999.
 171.59  -9999.    299.69    60.95     -9.16      2.51        800.3    930.65    291.58    14.34     344.67      9.50 1  -9999.  -9999.   -76.8650    39.0447  -9999.  -9999.  -9999.
 172.59  -9999.    299.66    60.79     -9.08      2.45        804.9    930.22    291.50    14.28     344.89      9.41 1  -9999.  -9999.   -76.8650    39.0447  -9999.  -9999.  -9999.
 173.59  -9999.    299.64    60.62     -9.00      2.40        809.5    929.80    291.44    14.23     345.05      9.31 1  -9999.  -9999.   -76.8650    39.0446  -9999.  -9999.  -9999.
 174.59  -9999.    299.61    60.68     -8.92      2.37        812.4    929.39    291.43    14.23     345.14      9.23 1  -9999.  -9999.   -76.8650    39.0445  -9999.  -9999.  -9999.
 175.59  -9999.    299.59    60.81     -8.84      2.34        815.4    928.98    291.44    14.24     345.17      9.14 1  -9999.  -9999.   -76.8650    39.0444  -9999.  -9999.  -9999.
 176.59  -9999.    299.55    60.93     -8.76      2.33        820.3    928.58    291.44    14.25     345.13      9.06 1  -9999.  -9999.   -76.8649    39.0444  -9999.  -9999.  -9999.
 177.59  -9999.    299.52    61.05     -8.69      2.32        823.4    928.17    291.44    14.25     345.03      8.99 1  -9999.  -9999.   -76.8649    39.0443  -9999.  -9999.  -9999.
 178.59  -9999.    299.48    61.19     -8.62      2.33        827.8    927.76    291.44    14.26     344.87      8.93 1  -9999.  -9999.   -76.8649    39.0442  -9999.  -9999.  -9999.
 179.59  -9999.    299.45    61.38     -8.56      2.35        830.9    927.34    291.46    14.29     344.67      8.88 1  -9999.  -9999.   -76.8649    39.0441  -9999.  -9999.  -9999.
 180.59  -9999.    299.42    61.61     -8.51      2.37        835.8    926.91    291.49    14.32     344.44      8.83 1  -9999.  -9999.   -76.8649    39.0440  -9999.  -9999.  -9999.
 181.59  -9999.    299.38    61.84     -8.47      2.40        839.2    926.48    291.51    14.34     344.19      8.80 1  -9999.  -9999.   -76.8649    39.0440  -9999.  -9999.  -9999.
 182.59  -9999.    299.33    61.96     -8.43      2.43        843.5    926.04    291.50    14.34     343.94      8.77 1  -9999.  -9999.   -76.8649    39.0439  -9999.  -9999.  -9999.
 183.59  -9999.    299.30    62.01     -8.41      2.46        850.1    925.61    291.49    14.33     343.69      8.76 1  -9999.  -9999.   -76.8649    39.0438  -9999.  -9999.  -9999.
 184.59  -9999.    299.26    62.06     -8.39      2.49        852.9    925.19    291.46    14.32     343.46      8.75 1  -9999.  -9999.   -76.8648    39.0438  -9999.  -9999.  -9999.
 185.59  -9999.    299.23    62.01     -8.38      2.52        855.6    924.78    291.41    14.28     343.25      8.76 1  -9999.  -9999.   -76.8648    39.0437  -9999.  -9999.  -9999.
 186.59  -9999.    299.20    61.91     -8.39      2.55        861.4    924.38    291.36    14.24     343.07      8.77 1  -9999.  -9999.   -76.8647    39.0437  -9999.  -9999.  -9999.
 187.59  -9999.    299.17    61.83     -8.40      2.58        864.7    923.98    291.32    14.21     342.93      8.79 1  -9999.  -9999.   -76.8646    39.0436  -9999.  -9999.  -9999.
 188.59  -9999.    299.14    61.87     -8.43      2.60        867.3    923.60    291.30    14.19     342.83      8.82 1  -9999.  -9999.   -76.8646    39.0435  -9999.  -9999.  -9999.
 189.59  -9999.    299.12    62.01     -8.46      2.62        870.3    923.21    291.31    14.21     342.77      8.86 1  -9999.  -9999.   -76.8645    39.0434  -9999.  -9999.  -9999.
 190.59  -9999.    299.09    62.17     -8.50      2.64        873.9    922.83    291.32    14.23     342.76      8.90 1  -9999.  -9999.   -76.8644    39.0434  -9999.  -9999.  -9999.
 191.59  -9999.    299.05    62.38     -8.55      2.65        878.6    922.45    291.35    14.26     342.79      8.95 1  -9999.  -9999.   -76.8644    39.0433  -9999.  -9999.  -9999.
 192.59  -9999.    299.02    62.58     -8.61      2.65        883.2    922.06    291.36    14.28     342.86      9.01 1  -9999.  -9999.   -76.8644    39.0432  -9999.  -9999.  -9999.
 193.59  -9999.    298.99    62.67     -8.66      2.66        886.2    921.67    291.36    14.28     342.96      9.06 1  -9999.  -9999.   -76.8643    39.0431  -9999.  -9999.  -9999.
 194.59  -9999.    298.95    62.81     -8.73      2.65        889.7    921.28    291.36    14.29     343.10      9.12 1  -9999.  -9999.   -76.8643    39.0431  -9999.  -9999.  -9999.
 195.59  -9999.    298.92    63.03     -8.79      2.64        892.0    920.87    291.38    14.32     343.27      9.18 1  -9999.  -9999.   -76.8643    39.0430  -9999.  -9999.  -9999.
 196.59  -9999.    298.88    63.28     -8.86      2.63        895.9    920.45    291.41    14.35     343.46      9.24 1  -9999.  -9999.   -76.8643    39.0429  -9999.  -9999.  -9999.
 197.59  -9999.    298.84    63.53     -8.92      2.61        901.4    920.02    291.44    14.38     343.67      9.30 1  -9999.  -9999.   -76.8642    39.0428  -9999.  -9999.  -9999.
 198.59  -9999.    298.80    63.69     -8.98      2.60        905.8    919.57    291.44    14.39     343.89      9.35 1  -9999.  -9999.   -76.8642    39.0427  -9999.  -9999.  -9999.
 199.59  -9999.    298.76    63.74     -9.04      2.58        910.9    919.11    291.41    14.37     344.10      9.40 1  -9999.  -9999.   -76.8642    39.0427  -9999.  -9999.  -9999.
 200.59  -9999.    298.71    63.77     -9.09      2.56        914.5    918.65    291.37    14.34     344.30      9.45 1  -9999.  -9999.   -76.8641    39.0426  -9999.  -9999.  -9999.
 201.59  -9999.    298.67    63.84     -9.14      2.54        919.1    918.17    291.35    14.33     344.48      9.49 1  -9999.  -9999.   -76.8641    39.0425  -9999.  -9999.  -9999.
 202.59  -9999.    298.63    64.00     -9.18      2.52        923.9    917.70    291.35    14.34     344.64      9.52 1  -9999.  -9999.   -76.8641    39.0424  -9999.  -9999.  -9999.
 203.59  -9999.    298.58    64.17     -9.21      2.51        928.4    917.23    291.35    14.34     344.78      9.54 1  -9999.  -9999.   -76.8641    39.0424  -9999.  -9999.  -9999.
 204.59  -9999.    298.54    64.23     -9.23      2.49        933.4    916.76    291.32    14.33     344.88      9.56 1  -9999.  -9999.   -76.8641    39.0422  -9999.  -9999.  -9999.
 205.59  -9999.    298.50    64.27     -9.24      2.48        939.1    916.30    291.30    14.31     344.96      9.57 1  -9999.  -9999.   -76.8641    39.0421  -9999.  -9999.  -9999.
 206.59  -9999.    298.46    64.39     -9.24      2.47        942.5    915.86    291.29    14.31     345.01      9.56 1  -9999.  -9999.   -76.8641    39.0420  -9999.  -9999.  -9999.
 207.59  -9999.    298.43    64.50     -9.22      2.46        945.8    915.43    291.28    14.31     345.04      9.55 1  -9999.  -9999.   -76.8641    39.0419  -9999.  -9999.  -9999.
 208.59  -9999.    298.39    64.55     -9.20      2.46        951.2    915.01    291.26    14.30     345.04      9.52 1  -9999.  -9999.   -76.8640    39.0418  -9999.  -9999.  -9999.
 209.59  -9999.    298.36    64.63     -9.17      2.45        954.3    914.60    291.25    14.29     345.03      9.49 1  -9999.  -9999.   -76.8640    39.0417  -9999.  -9999.  -9999.
 210.59  -9999.    298.33    64.83     -9.13      2.45        956.8    914.19    291.27    14.32     344.99      9.45 1  -9999.  -9999.   -76.8640    39.0416  -9999.  -9999.  -9999.
 211.59  -9999.    298.29    65.13     -9.08      2.44        960.9    913.79    291.31    14.36     344.94      9.40 1  -9999.  -9999.   -76.8639    39.0415  -9999.  -9999.  -9999.
 212.59  -9999.    298.25    65.40     -9.02      2.44        964.8    913.37    291.34    14.39     344.88      9.34 1  -9999.  -9999.   -76.8639    39.0414  -9999.  -9999.  -9999.
 213.59  -9999.    298.22    65.59     -8.95      2.43        969.7    912.95    291.35    14.41     344.81      9.27 1  -9999.  -9999.   -76.8638    39.0413  -9999.  -9999.  -9999.
 214.59  -9999.    298.17    65.79     -8.87      2.42        973.9    912.52    291.36    14.43     344.75      9.20 1  -9999.  -9999.   -76.8638    39.0412  -9999.  -9999.  -9999.
 215.59  -9999.    298.13    65.99     -8.79      2.41        978.1    912.09    291.37    14.44     344.70      9.12 1  -9999.  -9999.   -76.8638    39.0412  -9999.  -9999.  -9999.
 216.59  -9999.    298.09    66.12     -8.71      2.39        982.6    911.67    291.35    14.44     344.65      9.03 1  -9999.  -9999.   -76.8638    39.0411  -9999.  -9999.  -9999.
 217.59  -9999.    298.04    66.15     -8.62      2.37        987.1    911.25    291.32    14.41     344.62      8.94 1  -9999.  -9999.   -76.8638    39.0411  -9999.  -9999.  -9999.
 218.59  -9999.    298.01    66.13     -8.53      2.35        991.0    910.85    291.28    14.39     344.61      8.84 1  -9999.  -9999.   -76.8637    39.0410  -9999.  -9999.  -9999.
 219.59  -9999.    297.97    66.13     -8.43      2.32        994.0    910.46    291.25    14.36     344.62      8.75 1  -9999.  -9999.   -76.8637    39.0410  -9999.  -9999.  -9999.
 220.59  -9999.    297.94    66.22     -8.34      2.29        997.4    910.07    291.23    14.36     344.65      8.65 1  -9999.  -9999.   -76.8636    39.0409  -9999.  -9999.  -9999.
 221.59  -9999.    297.91    66.32     -8.25      2.26       1001.1    909.68    291.23    14.36     344.70      8.55 1  -9999.  -9999.   -76.8636    39.0408  -9999.  -9999.  -9999.
 222.59  -9999.    297.88    66.42     -8.16      2.22       1005.1    909.29    291.23    14.36     344.77      8.45 1  -9999.  -9999.   -76.8635    39.0408  -9999.  -9999.  -9999.
 223.59  -9999.    297.85    66.60     -8.07      2.18       1008.4    908.89    291.24    14.38     344.87      8.36 1  -9999.  -9999.   -76.8635    39.0407  -9999.  -9999.  -9999.
 224.59  -9999.    297.82    66.85     -7.99      2.14       1011.2    908.47    291.27    14.41     344.98      8.27 1  -9999.  -9999.   -76.8634    39.0406  -9999.  -9999.  -9999.
 225.59  -9999.    297.78    67.16     -7.91      2.10       1016.1    908.03    291.31    14.46     345.12      8.18 1  -9999.  -9999.   -76.8634    39.0405  -9999.  -9999.  -9999.
 226.59  -9999.    297.74    67.38     -7.83      2.06       1021.4    907.59    291.32    14.48     345.27      8.10 1  -9999.  -9999.   -76.8634    39.0405  -9999.  -9999.  -9999.
 227.59  -9999.    297.70    67.38     -7.76      2.02       1026.6    907.13    291.29    14.45     345.44      8.02 1  -9999.  -9999.   -76.8634    39.0404  -9999.  -9999.  -9999.
 228.59  -9999.    297.67    67.22     -7.70      1.98       1030.6    906.67    291.22    14.39     345.60      7.95 1  -9999.  -9999.   -76.8634    39.0403  -9999.  -9999.  -9999.
 229.59  -9999.    297.63    67.16     -7.64      1.94       1034.7    906.21    291.16    14.35     345.77      7.88 1  -9999.  -9999.   -76.8634    39.0402  -9999.  -9999.  -9999.
 230.59  -9999.    297.58    67.17     -7.59      1.90       1039.9    905.76    291.12    14.33     345.91      7.82 1  -9999.  -9999.   -76.8634    39.0401  -9999.  -9999.  -9999.
 231.59  -9999.    297.55    67.16     -7.54      1.87       1044.8    905.32    291.09    14.30     346.04      7.77 1  -9999.  -9999.   -76.8634    39.0401  -9999.  -9999.  -9999.
 232.59  -9999.    297.52    66.97     -7.50      1.85       1048.5    904.89    291.02    14.24     346.14      7.72 1  -9999.  -9999.   -76.8634    39.0400  -9999.  -9999.  -9999.
 233.59  -9999.    297.49    66.80     -7.46      1.83       1051.9    904.47    290.94    14.18     346.20      7.69 1  -9999.  -9999.   -76.8634    39.0400  -9999.  -9999.  -9999.
 234.59  -9999.    297.45    66.91     -7.44      1.82       1055.8    904.06    290.94    14.18     346.23      7.66 1  -9999.  -9999.   -76.8634    39.0399  -9999.  -9999.  -9999.
 235.59  -9999.    297.42    67.33     -7.42      1.82       1060.0    903.65    291.01    14.25     346.23      7.63 1  -9999.  -9999.   -76.8634    39.0399  -9999.  -9999.  -9999.
 236.59  -9999.    297.39    68.04     -7.40      1.82       1063.3    903.23    291.15    14.39     346.20      7.62 1  -9999.  -9999.   -76.8633    39.0398  -9999.  -9999.  -9999.
 237.59  -9999.    297.35    68.65     -7.39      1.82       1066.6    902.81    291.25    14.49     346.14      7.61 1  -9999.  -9999.   -76.8633    39.0398  -9999.  -9999.  -9999.
 238.59  -9999.    297.31    68.82     -7.39      1.84       1071.0    902.38    291.25    14.50     346.05      7.61 1  -9999.  -9999.   -76.8633    39.0397  -9999.  -9999.  -9999.
 239.59  -9999.    297.27    68.75     -7.39      1.85       1076.6    901.93    291.19    14.45     345.94      7.62 1  -9999.  -9999.   -76.8633    39.0396  -9999.  -9999.  -9999.
 240.59  -9999.    297.22    68.59     -7.40      1.87       1081.5    901.48    291.11    14.38     345.81      7.63 1  -9999.  -9999.   -76.8633    39.0395  -9999.  -9999.  -9999.
 241.59  -9999.    297.18    68.40     -7.42      1.90       1085.1    901.03    291.03    14.31     345.66      7.65 1  -9999.  -9999.   -76.8633    39.0394  -9999.  -9999.  -9999.
 242.59  -9999.    297.15    68.31     -7.43      1.92       1090.2    900.59    290.98    14.27     345.50      7.68 1  -9999.  -9999.   -76.8632    39.0394  -9999.  -9999.  -9999.
 243.59  -9999.    297.11    68.47     -7.46      1.95       1094.0    900.15    290.98    14.28     345.33      7.71 1  -9999.  -9999.   -76.8632    39.0393  -9999.  -9999.  -9999.
 244.59  -9999.    297.08    68.81     -7.49      1.98       1098.3    899.73    291.02    14.33     345.15      7.74 1  -9999.  -9999.   -76.8632    39.0392  -9999.  -9999.  -9999.
 245.59  -9999.    297.03    69.12     -7.52      2.02       1102.4    899.31    291.05    14.36     344.98      7.78 1  -9999.  -9999.   -76.8631    39.0392  -9999.  -9999.  -9999.
 246.59  -9999.    297.00    69.19     -7.55      2.05       1107.0    898.92    291.03    14.35     344.81      7.83 1  -9999.  -9999.   -76.8631    39.0391  -9999.  -9999.  -9999.
